,PC1,PC2,PC3,PC4,PC5
VU372-GBM-vIII,-41.941212858814474,10.329310330803011,33.71799537681905,11.554069545378622,-21.150770136440254
VU378-GBM,5.246115649694406,-4.51036623838256,51.11949780054966,-7.913253088734222,-17.041588464402285
VU383Platelet-hiseq,-130.8609479071794,-69.62148768768432,-44.75547856092395,22.095339043700392,-1.5170638507951864
VU393-GBM-vIII,-83.68127049788428,-13.469318959373673,13.215583657955648,16.974680966317507,-5.669365305319262
VU394Platelet-hiseq,-57.951156481123405,-65.52766682864423,13.499805881509019,19.850876797841128,44.89431929205089
VU398-GBM,-104.04612706234522,-35.2675345608779,-52.85790675744523,7.09239617973812,-16.35018816858889
VU402-2-GBM,-58.86726298126878,-6.1802852781203725,37.559018102434074,14.59815402977733,-11.162726156278863
VU406-2-GBM,-51.07732250731691,-1.7192868944006452,47.4140953425507,18.939040064042942,-16.244288792724934
VU408-GBM,73.89760735656174,-28.487608509097896,35.50329719300222,5.714837037929124,10.32439828609299
VU417-GBM-vIII,-82.57695328664327,-15.234910519840314,37.394052169609274,11.455966257896685,9.386283919151559
VU418-GBM,-110.36024138273547,-27.86611368951738,-41.549133029844505,9.650870189143436,1.6237482877503384
VU419-GBM,-84.70940733542187,-30.843050257591543,-58.518216812435995,-9.932337294125267,-10.704067270069045
VU421-GBM,-40.196639725494244,-18.92197019562273,38.529852862373495,24.03720160740727,29.482273405465733
VU422-GBM,-24.729007538688357,-11.845413650574711,42.11025521479327,9.503565501587078,10.705582101524792
VU425-GBM,53.98075807578461,-10.0340868113865,20.543651967515668,11.82990675641057,-13.784664888337758
VU429-1-GBM-vIII,-24.959539663500987,7.491425684998895,29.118974440034034,18.375075954711484,-7.714071677814176
VU430-GBM,-35.55575625741743,15.541404347550685,38.56636118168942,11.77091640352697,-30.24512351987632
VU431-1-GBM-vIII,122.79750827582336,0.4144172793826201,-2.4232314822344074,-3.788997727680529,-10.417664301243347
VU436-1-GBM-vIII,90.51559542330715,-1.058666693184164,-0.9873239182806562,45.26302778341032,-9.806944773954552
GBM-438,-45.6863618347713,-1.0601982052017507,9.193022135477717,32.40617575452538,-18.459661236374483
VU439-1-GBM-vIII,106.82293222811263,-7.040276890442282,10.405925072577604,18.628949067679972,-16.961646629679237
GBM-440,186.48479250941975,-14.98321086611188,-15.466148689815677,-9.599161406743082,-28.410345801469084
VU443-1-GBM-WT,66.38682519550925,-5.906180167018049,13.577915515475718,15.258902960375792,-26.123559668855272
VU445-1-GBM-WT,6.155387672743829,2.8121285940162344,9.335435411180327,33.77916013108476,-2.8236593106010615
VU454-1-GBM-WT,122.58802557525256,-7.419696029551737,18.267499154135887,-11.05113389486479,-12.462175656038896
VU456-1-GBM-WT,80.60828680120251,8.899818106812637,0.2604442107790641,41.02813281655431,-22.634303617674544
VU468-1-GBM-WT,50.571211898854685,-5.514540152123227,4.722176697652305,37.213546518354036,0.5681206544178455
GBM-471,45.352219686856074,6.92421983928621,3.4562830110684453,26.84324842550873,-14.33039347466482
GBM-475,-72.08237812746786,9.84605024413032,19.775341494988947,28.930157684577907,-10.341469986308754
GBM-476,59.11568764773108,-6.28216729957961,2.9452490883057654,17.7516284826814,-16.743519443533394
GBM-480,138.28214464862018,-30.108176908469055,15.1269300205919,-19.483038074267792,-0.7377525201118957
GBM-484,110.15724082601918,-7.474233753705147,-8.800759718606256,28.114661227866318,-4.824324789147543
GBM-485,64.84997710163974,-6.7976275420196925,-11.265896138502582,7.930450994974007,-6.4501435707479855
GBM-486,164.51855491193322,-15.609829414211788,-16.119684403808247,-19.879430657698233,-13.003574764191333
GBM-499,-46.990493620534075,4.405618288760377,12.861869703549328,27.93443167483812,-4.953054557288495
GBM-505,-71.17316299281492,10.253226870474336,10.56446644665702,29.31821424136975,-15.968562816261404
HD-1,151.25684883682624,-39.02429359182767,-56.1842277584579,-19.343486449022222,-0.6027834082335088
HD-2-1,99.38697059806182,-19.043693239589985,13.667247993254449,-10.95251728947514,5.791799580433377
HD-3-1,49.5137733119661,-18.239319075442296,8.636472183693245,18.74299382521608,6.469731270959542
HD-4,84.25585375888042,-36.75869284531378,-50.04573130291108,10.475005047908681,2.7372148820172884
HD-5,30.512384983421672,-26.997361067472635,-49.859508283042175,16.17964281293803,10.018519238898097
HD-7,68.59816828619779,-16.050204959807406,-59.092899582725856,-16.857483580385967,-2.3486795212870826
HD-8,80.42909035448263,-14.531452797550934,-63.320971824837656,-26.213817622272845,-12.443449647428254
HD-9,-34.47232826161888,-43.95158568860494,-50.84765230579283,13.970119074935957,-5.919570354851841
HD-10,99.95032473356626,-60.298683559454325,-75.06160045568573,-13.369273028360062,5.735589048048066
HD-11-1,-30.35309486532708,0.5174177686320764,28.817518442918967,7.800117716198712,-4.457226035221404
HD-13-1,85.4427028607384,-19.60255283957519,11.717168993407661,7.442958985193151,-3.039059129999558
HD-14-1,156.54068168452565,-25.446167315185985,16.32237853997047,-16.876397187716623,-10.289218789068974
HD-15-1,10.899922775580544,-2.6009356808086608,24.055730926248536,18.20660618889889,-6.479462566304736
HD-16-1,161.59090521731073,-12.538659205493706,6.791447626467856,-12.4096554030775,-19.846231682945742
HD-20-1,56.628905210803495,3.80636494830249,11.402027031080623,28.988377460011026,-14.449805614230398
HD-22-1,12.186301561721555,10.664276033598819,32.44651020921782,16.402808726901178,-11.53794762396128
HD-34-1,25.19449196142207,8.714051875660617,17.54593077434979,10.134501187317841,-7.269914225164367
HD-39-1,109.99969405187818,-28.472441757378466,3.8021339645428003,27.164079685327955,3.0449221237099233
HD-40-1,83.71909200276839,-5.031003182446687,-3.2875572755710474,23.597524907119286,-12.887108513695797
HD-45-1,210.29339666913015,-9.166394530661046,6.96561385459199,-26.489431656878754,-26.144366726701932
HD-46-1,169.65665520933675,-30.781857328705673,15.257990466922557,-28.953623475253615,-14.187756191068395
Control-2,-57.05967917975543,-23.879513690866084,-35.65028269173376,-17.250058254764483,-2.847344802972038
Control-3,-73.67760813397499,-32.502377068793024,-42.86288318589375,-5.049224705528871,4.815918760191516
Control-4,-59.71545492912608,-33.41290296270416,-42.00808156236816,-14.267363034235348,3.876572562546246
Control-5,-64.88526368521123,-35.799042468807805,-39.73751669404556,-11.045390027258941,5.329883634811825
Control-6,12.417154634027758,-36.939965796807975,-47.43660805529199,-30.87900315341148,0.5095913758457575
Control-8,-24.076195584656325,-18.127852062698796,-34.8035442260385,-15.1399832512316,-22.55531405035544
Control-9,-8.044950335607275,-21.320551264530966,-40.031164385604164,-19.58974279839302,-21.506115246830333
Control-10,-34.698142956722066,-13.764748677479469,-28.63211238139546,-16.10458047439664,-22.373486936214036
Control-13,57.78693421460058,-36.17540765858449,-52.94662095187812,-36.57312000611841,-9.973305465953642
Type-Unknown-3,92.96126951803848,-21.06071115092201,14.679928722506883,-7.634554297843294,3.31089384599699
HD-17-1,79.87312434360669,-9.536253247843737,-16.119299594164904,51.09140809833503,5.230249874675488
HD-18-2,117.95808788101665,-13.08258847909346,-10.207856474743302,43.43391967188508,-4.7744457674369825
HD-21-1,79.5081595686769,-10.4934133655506,-14.086205214029862,39.37780528584476,6.352977966224728
HD-24-2,59.915590797706216,-15.83650579695622,-13.275190918906722,50.879923398446685,8.03170415222375
HD-25-2,107.58856039432844,-13.49169096702793,-17.694665981071818,51.32855837247352,-2.620063050158672
HD-26-2,58.14279806394587,-16.81507545574173,-10.260331215958123,40.93301167778253,-2.6085308720434033
HD-27-2,76.27699867711111,-20.791833803162874,-14.352328897991985,49.549163798045335,12.86494496417706
HD-29-2,56.61737226725535,1.2220170231653595,-11.102456228326188,38.85953137781288,-15.969243029662918
HD-30-2,100.72101123090611,-10.489849221958165,-32.91595167983248,40.304260772735816,6.1070927662429995
HD-31,52.0847412433253,-14.495602770896474,0.7652402545540317,26.49215642005456,3.986290485674943
HD-32-2,100.30462217403296,-4.052095561778778,-27.139447471750298,55.39595235803578,-9.730316980361684
HD-33-1,162.599877009056,-15.982697168359364,-11.010952161927651,-0.18622028290340367,-16.19578953574436
HD-35-2,63.00677987982089,0.29568268085597,-2.4129476756799813,29.514544115604362,-15.978076587539828
HD-36,59.52767178138927,-2.5027119820267867,-8.99390571142563,42.078274230849736,-11.503334064874377
HD-37-2,112.7299202576229,-9.387184570278407,-15.818875608346493,33.920004279655984,-9.03662386984284
HD-38-2,195.54517455487044,-26.96251631919094,-30.462155714023236,-10.148069512106376,-7.470023151606352
HD-44-2,191.93008043584518,-14.5655610779837,-16.60991112740379,-14.197789940532134,-16.478772894265294
HD-47-1,95.11909657489373,1.7063552612035162,-6.086424377593131,39.04003963347209,1.2955887303870688
HD-48-1,168.10282563594168,-36.74554503581193,-7.398033848328748,6.470150398043122,1.9841859402914535
HD-49-1,105.36871254752074,-17.880260802631344,-13.061699870411477,25.791409460954362,1.5068135279952501
HD-50-1,155.348325911013,-16.040249514688586,-20.189901425759533,36.24229614176623,-6.885469290248475
HD-51-1,158.30975628261115,-16.605253836042134,-19.680972058322787,34.16625883589534,-14.451128103483889
HD-53-1,99.90447301466614,-10.816445204850151,-7.3566369500969815,18.907197608948795,-1.521036671235363
HD-54-1,105.97467594281858,-15.27186272120017,-18.07112960229015,29.47821642615591,-10.873827396870238
VU274-CRC,-90.05615333084889,-13.80203408297099,-37.86856727958736,-21.495089607300063,-34.9038073696469
297-Liver-WT,-0.4845567936119757,-12.638422298460465,18.107185426968336,-22.427918226921683,9.344465062970999
366-Liver-WT,-26.49072353495799,-7.855702021534247,25.01417211790214,-3.3527219516756586,22.220793340260148
Lung-0082,-26.637259696909673,9.766457217263099,14.733287095860053,3.1245568926446894,-11.454708599911413
Lung-0096,-1.5704205283603108,8.60646679969213,2.3614390697243537,-4.938889731791835,-26.637421412631817
Lung-0001,-113.44090834084714,-52.51039039161993,-58.50530188741194,-5.129493273591567,11.341535078641545
Lung-0100,6.761723292582899,-6.007286013056135,20.13495065881014,-5.44431612034851,-0.0031689260910107543
Lung-0101,-67.81351634435866,13.393121258164808,11.06218075531426,40.14709163305976,-14.539964031355877
Lung-0102,-36.38878162411018,4.23273165439886,12.541303230726093,7.449088489809504,-4.85523140530161
Lung-0104,-59.983236602327636,-1.4483970076979416,13.341177584901116,29.710369239038357,2.6558572099563795
Lung-0110,25.6718669773288,2.778506580293186,9.186988562387853,21.166961580364916,-11.128568230756352
Lung-0112,-3.3625106110971417,9.59266907842767,16.815593883394435,23.710588622544265,1.5656773616853703
Lung-0119,-43.893972174836165,-28.75223857669387,-6.425511157089536,32.336139563779525,22.956099064689127
Lung-004-EGFR,54.44450620632243,4.931389149540467,19.990713254279367,-7.274238097291639,-12.794391895690994
Lung-006,-138.00814948489125,-34.23830985720338,-61.98587526759122,32.82606267574664,-6.4603673296050275
Lung-0007,-97.89710803406035,-23.454348794481675,-45.333305163556375,18.39742097160828,10.986804265587082
Lung-008,-31.735184788896028,-63.29452421713286,-73.68486899415606,-24.793847730885563,9.796057668973566
Lung-0012,-125.14592366536972,-22.80001196435409,-44.46032616908948,-3.804358124797156,-37.67976029234115
Lung-0014J,-39.35068670168345,-11.664553636831819,-43.16954036398474,-34.53420309391867,-1.2609253787185137
Lung-0015,-67.81401727793208,-5.154087774281946,-24.577932175270785,-32.83113270132408,-28.117267719223427
Lung-0016,-120.31839909466757,-37.661797691415,-44.82272091129506,-4.750836700883569,2.36616546926399
Lung-0017,-108.8196056914461,-25.62591943869952,-43.56242018291334,-15.5332269019297,-23.833855515996678
Lung-0020J,-56.414124289165024,10.420434170820874,-28.612249586744547,-35.122595244181554,-51.97438799272267
Lung-0020J-1,-43.10284176625843,-1.1457745215491717,-40.104199686384156,-33.74462164946605,-50.67652237435409
Lung-0024J-1,-90.26549135549683,-32.43020544444062,-79.16655773636295,-6.526729573152253,5.229032079121796
Lung-0025J,-79.89480546365463,4.782294297915423,-31.528858591944118,-17.721399139318326,-32.93355793294961
