,PC1,PC2,PC3,PC4,PC5
HD-9,-34.47170429701659,-43.20239405043706,-49.470726031265144,14.494176274539157,-6.491802849201316
HD-10,98.68418803912371,-59.34967242111366,-73.29781880750163,-11.58785193709101,4.08954608999475
HD-11-1,-29.82978509410792,0.9232420829151572,28.476256823983817,7.5261757258781845,-5.214438832082189
HD-13-1,84.95848536160517,-19.36580878724035,11.168700334442615,7.823788943165082,-3.3179943682775304
HD-14-1,154.97397964786254,-25.438083510613378,15.72837960869556,-15.568963481199285,-9.185221965957096
HD-15-1,11.268049761407061,-2.5653816159121545,23.486907234728992,18.58013837713982,-6.727912150621033
HD-16-1,159.464578950209,-12.539831289741002,6.455973602200062,-11.317159472603992,-18.066778123190605
HD-20-1,55.988488868944906,3.816124493127927,11.043428549216861,27.97735142335365,-13.38219404395607
HD-22-1,12.505488445231812,10.685330097766487,31.825245068660443,16.129710946610114,-11.48395529950727
HD-34-1,25.513721243099283,8.696764001257986,16.862648052609327,10.242593064489132,-7.337598707701677
HD-39-1,108.8930382166169,-28.003883077093107,3.3130306834893,27.325336270267893,1.8519605813510744
HD-40-1,83.07475196780825,-4.898699747620446,-3.815849439885417,23.954613229974154,-13.009287858922526
HD-45-1,206.80075427093064,-9.5409659447,6.949968697145265,-24.819038846086162,-23.191928127257523
HD-46-1,167.67553159080904,-30.72723330085211,14.751857887233772,-27.338385344585923,-12.296329126759424
Control-2,-56.57738786943417,-24.024219633124304,-35.46202731674471,-17.044217281127132,-3.6968905393662537
Control-3,-73.45902340564264,-32.39650155030951,-42.29691544338134,-4.968813176086302,3.6739507856598643
Control-4,-59.2804101497658,-33.40119830837214,-41.89454012353743,-14.14283868002642,3.212707462261153
Control-5,-64.56209347959621,-35.68166036845918,-39.28088542497488,-11.123896812415362,4.358601004334746
Control-6,12.511410635348998,-36.94719069300038,-47.28524572059199,-30.060322137789296,-0.8618347101181634
Control-8,-23.648772865495783,-18.18690728977835,-34.78527699886457,-14.54131240226685,-23.440065233229184
Control-9,-7.915153749101445,-21.411697963566294,-39.909789466677836,-18.756085045169545,-22.080256560566834
Control-10,-34.258301439863615,-13.763097028820681,-28.66888392406289,-15.40526571309808,-23.040850149189577
Control-13,57.10798214026853,-36.33186033190212,-52.69454433413863,-35.317653563073684,-10.653730921164705
Type-Unknown-3,92.6067298846359,-21.163773625487888,14.1132138809505,-7.253033731364122,3.263748803031262
HD-17-1,78.86628180052173,-8.971536575682741,-15.776336133675686,49.47602235311939,4.0218550993402316
HD-18-2,116.41664289443999,-12.645007169316074,-9.964058851972261,42.143248682470684,-4.660571152075823
HD-21-1,78.4146267299869,-9.919202206202515,-13.914541371677357,37.326638781389704,5.492380873180364
HD-24-2,59.27822884004243,-15.284854075126272,-13.01759176426786,48.92283970150409,6.989069346448429
HD-25-2,106.06459846193954,-12.927680402920137,-17.091144606375153,48.923043776679094,-3.4212223393396104
HD-26-2,57.48364201072824,-16.28363460562376,-10.338777875678032,39.97117633399495,-2.956728625217372
HD-27-2,75.42310774853314,-20.35057815619184,-14.329677828117829,48.073047561771496,11.5763761395232
HD-29-2,56.0334075327516,1.4211369142351513,-10.971802512723864,37.97759879503444,-15.747204911835716
HD-30-2,99.17740777673843,-10.284697564991477,-31.998681695484983,38.443434673515945,4.948128574373066
HD-31,51.85948177849855,-14.206726354638757,0.4190009626291323,26.185971052068496,3.0269421640908356
HD-32-2,98.69373650513299,-3.933151361226144,-26.43328000984322,53.28426207616662,-9.20943528897634
HD-33-1,160.03255402024652,-15.662923572764916,-10.673119896608915,0.07516388203140625,-15.037125759134662
HD-35-2,62.649019374163,0.336797555012054,-2.651941040379789,29.143303542174642,-15.714096497237517
HD-36,59.16248562150133,-2.304343512220435,-9.065024778189267,41.26757427936437,-10.923159872132176
HD-37-2,110.98181272241365,-9.0387111035167,-15.492573898325297,32.87759174872127,-8.619488258437318
HD-38-2,191.52614093220015,-26.363811415675446,-29.10814058383866,-10.038619092501854,-7.0740072224307955
HD-44-2,188.49002411062483,-14.385657891925304,-16.01900082550122,-13.576783797368497,-14.46605886394917
HD-47-1,93.88226908246756,1.9639638982870096,-6.063215247138119,37.039332172708335,0.7260458077579407
HD-48-1,165.0702376004796,-35.653657849973925,-6.964093712179094,5.633950872354922,2.1096402412160193
HD-49-1,104.18424577593434,-17.619732453134997,-13.143181603691103,25.06525045031899,1.166803671999276
HD-50-1,152.84088915694423,-15.441003153432737,-19.387179531183254,34.38420767369657,-6.999135987594344
HD-51-1,154.7447812322373,-15.835544287267293,-18.43832374489198,31.207647464852002,-12.53998211574594
HD-53-1,98.84574758251719,-10.500569451600978,-7.4656580489441575,18.130899579181953,-1.6582377793651453
HD-54-1,104.45519780457553,-14.55652490039549,-17.67338095530616,28.4504589236329,-9.942039488930197
VU274-CRC,-89.74429261622555,-13.72402899152412,-37.26811945543936,-21.13213563630056,-34.3517625177424
297-Liver-WT,-0.04059974678460774,-12.486685058870117,17.722148475712572,-22.239589167218604,8.428142896062988
366-Liver-WT,-25.998473676962092,-7.716168488002188,24.62730245330267,-3.646533420319577,21.444582424052165
Lung-0082,-25.990731778564673,10.14377440571476,14.700416897696678,3.000876231008674,-11.84801765150964
Lung-0096,-1.0370982579815067,8.628958460359454,2.1955181047461294,-4.633890869684912,-26.49855996945967
Lung-0001,-113.3973353682516,-52.46315564819272,-57.58381149444203,-4.4550678214119825,12.545585100249584
Lung-0100,7.208059465261748,-5.831908706301644,19.58917586490549,-5.42405525732385,-0.5762415270296698
Lung-0101,-67.48050519821479,14.064696758211666,11.713772211283883,39.6307521198552,-14.389415645904831
Lung-0102,-35.96771069891368,4.587563079086891,12.600187751685938,7.1536245956034294,-5.766821400970728
Lung-0104,-59.693445291881545,-0.8877154698842334,13.63748534128845,29.193179307428103,2.495167114840629
Lung-0110,25.766148879008437,3.100110854666086,8.809528999250638,20.852910250552952,-11.254611245098845
Lung-0112,-2.983223840423803,9.923107803500702,16.571556615208625,23.340116591784916,0.8716148622970047
Lung-0119,-43.99384580962841,-28.17961356292076,-5.904998870411701,32.239731037395714,24.058963089895403
Lung-004-EGFR,54.79453733775986,4.543690903726957,19.090194786420856,-6.437704205833756,-12.292895426842184
Lung-006,-138.21054351925622,-33.80520863064479,-60.392529513125844,33.16944937380242,-5.3370891223302355
Lung-0007,-97.85550221044342,-22.852692426707225,-44.218332405339275,18.446449979499228,11.224688264485696
Lung-008,-31.848647548193778,-63.396231579093865,-72.94717959484926,-23.553467468251924,9.372269407634793
